s_id,semester,leave_school_name,leave_dept_name,degree_now,第一題,第二題,第三題,第四題,第五題,第六題,第七題,第八題,第九題,第十題,第10題,第十一題,第11題,第十二題
121f4fbaac5ca2825e42f03f6948ff7e,100,工學院,機械工程學系博士班,博士班,部分工時_目前非就業中（請跳答第6題、第13題）*:*,NULL,NULL,NULL,NULL,NULL,尋找工作中_目前已花多久時間找工作_約6個月以上*:*尋找工作中_到現在還在尋找工作的最大可能原因為何_沒有工作機會*:*,NULL,NULL,NULL,外語能力*:*人際互動能力*:*,問題解決能力*:*創新能力*:*,NULL,工程學門*:*
125368e4ade2325c28928d937c087dd2,101,資訊電機學院,資訊工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,研發 /開發部門*:*,否*:*,製造業 (C)*:*,"約新臺幣75,001元至80,000元*:*",境內_新北市*:*,NULL,NULL,專業知識、知能傳授*:*,NULL,問題解決能力*:*團隊合作能力*:*創新能力*:*,溝通表達能力*:*持續學習能力*:*,符合*:*,設計學門*:*
125ad3ceff9313b9abc16aebb9c26c44,100,工學院,機械工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,業務部門*:*,否*:*,製造業 (C)*:*,"約新臺幣60,001元至65,000元*:*",境內_台北市*:*,NULL,NULL,語言學習*:*校內實務課程*:*專業知識、知能傳授*:*,NULL,團隊合作能力*:*外語能力*:*問題解決能力*:*,團隊合作能力*:*人際互動能力*:*問題解決能力*:*,符合*:*,商業及管理學門*:*
125b427aa9dc35157973d5331448c49b,103,資訊電機學院,資訊工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊部門*:*,否*:*,出版、影音製作傳播及資通訊服務業 (J)*:*,NULL,境內_嘉義市*:*,準備考試_國內研究所*:*,NULL,建立同學及老師人脈*:*,團隊合作能力*:*創新能力*:*人際互動能力*:*,NULL,問題解決能力*:*工作紀律、責任感及時間管理能力*:*資訊科技應用能力*:*,NULL,教育學門*:*生命科學門*:*設計學門*:*
126572acbed83371f20c10bd863ee6e9,100,理學院,生命科學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,生產 /製造 部門*:*,是*:*,製造業 (C)*:*,"約新臺幣60,001元至65,000元*:*",境內_桃園市*:*,NULL,NULL,校內實務課程*:*建立同學及老師人脈*:*社團活動*:*,NULL,溝通表達能力*:*團隊合作能力*:*,團隊合作能力*:*問題解決能力*:*人際互動能力*:*,尚可*:*,沒有進修需求*:*
12705b6636934d914f1bd7b5f7627d01,103,文學院,中國文學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,行政部門*:*,否*:*,教育業 (P)*:*,NULL,境內_桃園市*:*,尋找工作中_到現在還在尋找工作的最大可能原因為何_公司財務或制度不穩健*:*,NULL,建立同學及老師人脈*:*,創新能力*:*資訊科技應用能力*:*,NULL,溝通表達能力*:*跨領域整合能力*:*外語能力*:*,NULL,人文學門*:*教育學門*:*
127e0f6a9c5b128ffb310b23e49c9f26,103,文學院,中國文學系,學士班,目前非就業中（請跳答第7題後，再跳答第10、11、12題）*:*,NULL,NULL,NULL,NULL,NULL,NULL,非常有幫助*:*,NULL,NULL,NULL,跨領域整合能力*:*問題解決能力*:*資訊科技應用能力*:*,NULL,教育學門*:*社會及行為科學門*:*
127f22db41c030b794056e0425c9347e,101,資訊電機學院,電機工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,工程部門*:*,否*:*,製造業 (C)*:*,"約新臺幣95,001元至100,000元*:*",境內_新竹市*:*,NULL,NULL,校外業界實習*:*專業知識、知能傳授*:*,NULL,持續學習能力*:*溝通表達能力*:*問題解決能力*:*,問題解決能力*:*持續學習能力*:*工作紀律、責任感及時間管理能力*:*,非常符合*:*,工程學門*:*
128b66eb6483cda613a09887eed1b7dc,103,理學院,物理學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,其他部門（請敘明）*:*,否*:*,製造業 (C)*:*,NULL,境內_彰化縣*:*,準備考試_國內研究所*:*,NULL,校內實務課程*:*,溝通表達能力*:*創新能力*:*持續學習能力*:*,NULL,外語能力*:*工作紀律、責任感及時間管理能力*:*跨領域整合能力*:*,NULL,社會及行為科學門*:*自然科學門*:*教育學門*:*
12ad342b42d91e2d99ff04bb76ca4dcf,101,管理學院,企業管理學系,學士班,全職工作_政府部門（含職業軍人）*:*,業務部門*:*,否*:*,公共行政及國防、強制性社會安全 (O)*:*,"約新臺幣37,001元至40,000元*:*",境內_嘉義市*:*,NULL,NULL,專業知識、知能傳授*:*,NULL,人際互動能力*:*溝通表達能力*:*,溝通表達能力*:*,符合*:*,法律學門*:*
12afb912bb888851334e27ab6a4f46dd,101,管理學院,經濟學系博士班,博士班,全職工作_非營利機構*:*,研發 /開發部門*:*,否*:*,專業 、科學及技術服務(M)*:*,"約新臺幣95,001元至100,000元*:*",境內_台北市*:*,NULL,NULL,建立同學及老師人脈*:*擔任研究或教學助理*:*專業知識、知能傳授*:*,NULL,溝通表達能力*:*外語能力*:*人際互動能力*:*,持續學習能力*:*問題解決能力*:*,非常符合*:*,商業及管理學門*:*
12bd214c2984f3827a7d97c09cbcf4cd,103,工學院,機械工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,生產 /製造 部門*:*,否*:*,製造業 (C)*:*,NULL,境內_台中市*:*,準備考試_出國留學*:*,NULL,建立同學及老師人脈*:*,溝通表達能力*:*,NULL,其他_(請敘明)__*:*,NULL,教育學門*:*人文學門*:*設計學門*:*
12d3f2f20edc66fd84befb560a624bee,103,資訊電機學院,電機工程學系,學士班,全職工作_政府部門（含職業軍人）*:*,其他部門（請敘明）*:*,否*:*,電力及燃氣供應業 (D)*:*,NULL,境內_嘉義市*:*,準備考試_出國留學*:*,NULL,專業知識、知能傳授*:*,問題解決能力*:*溝通表達能力*:*,NULL,溝通表達能力*:*持續學習能力*:*,NULL,社會及行為科學門*:*
12d8e21e2c0c9012290220e8d209a290,103,資訊電機學院,資訊工程學系軟體工程碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,研發 /開發部門*:*,否*:*,出版、影音製作傳播及資通訊服務業 (J)*:*,NULL,境內_澎湖縣*:*,服役中或等待服役中*:*,NULL,專業知識、知能傳授*:*,創新能力*:*溝通表達能力*:*,NULL,創新能力*:*溝通表達能力*:*問題解決能力*:*,NULL,社會及行為科學門*:*自然科學門*:*教育學門*:*
12e83c7057a8b2ea3caf0871d6aa82cb,100,管理學院,人力資源管理研究所碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,人力資源 /培訓 部門*:*,是*:*,出版、影音製作傳播及資通訊服務業 (J)*:*,"約新臺幣55,001元至60,000元*:*",境內_新竹縣*:*,NULL,NULL,擔任研究或教學助理*:*校外業界實習*:*建立同學及老師人脈*:*,NULL,持續學習能力*:*資訊科技應用能力*:*問題解決能力*:*,團隊合作能力*:*跨領域整合能力*:*領導能力*:*,非常符合*:*,商業及管理學門*:*
12efeb327bfaaf46161762f2ad4d8818,103,管理學院,財務金融學系碩士在職專班,碩士在職專班,全職工作_企業（包括民營企業或國營企業…等）*:*,財務 /會計 部門*:*,否*:*,金融及保險業 (K)*:*,NULL,境內_雲林縣*:*,準備考試_出國留學*:*,NULL,專業知識、知能傳授*:*,溝通表達能力*:*,NULL,創新能力*:*,NULL,教育學門*:*
12ff404d3ed176d8767e13fd4af0a192,100,管理學院,資訊管理學系博士班,博士班,全職工作_學校（包括公立及私立大學、高中、高職、國中小…等）*:*,教育訓練部門*:*,否*:*,教育業 (P)*:*,"約新臺幣60,001元至65,000元*:*",境外_亞洲（香港、澳門、大陸地區）*:*,NULL,NULL,專業知識、知能傳授*:*建立同學及老師人脈*:*擔任研究或教學助理*:*,NULL,創新能力*:*團隊合作能力*:*問題解決能力*:*,創新能力*:*團隊合作能力*:*問題解決能力*:*,非常符合*:*,商業及管理學門*:*
1319ada027c67365f2dceb3fae5a8161,101,管理學院,企業管理學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,業務部門*:*,否*:*,金融及保險業 (K)*:*,"約新臺幣46,001元至49,000元*:*",境內_桃園市*:*,NULL,NULL,語言學習*:*校內實務課程*:*專業知識、知能傳授*:*,NULL,問題解決能力*:*溝通表達能力*:*跨領域整合能力*:*,溝通表達能力*:*團隊合作能力*:*領導能力*:*,符合*:*,商業及管理學門*:*
132c8a2c2eca24ffcff21b84283fad56,100,管理學院,企業管理學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,營業 (運)部門*:*,否*:*,金融及保險業 (K)*:*,"約新臺幣40,001元至43,000元*:*",境內_新竹市*:*,NULL,NULL,校內實務課程*:*語言學習*:*社團活動*:*,NULL,問題解決能力*:*持續學習能力*:*跨領域整合能力*:*,持續學習能力*:*跨領域整合能力*:*問題解決能力*:*,符合*:*,人文學門*:*
133c2cf799ebc2ea10f5b92e9c90d244,100,資訊電機學院,資訊工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,研發 /開發部門*:*,否*:*,出版、影音製作傳播及資通訊服務業 (J)*:*,"約新臺幣55,001元至60,000元*:*",境內_南投縣*:*,NULL,NULL,校內實務課程*:*專業知識、知能傳授*:*建立同學及老師人脈*:*,NULL,外語能力*:*創新能力*:*溝通表達能力*:*,溝通表達能力*:*問題解決能力*:*,非常符合*:*,人文學門*:*
134eee83ba57aa803a0810ae710f4697,103,管理學院,資訊管理學系碩士在職專班,碩士在職專班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊部門*:*,是_請問管理人數為___人*:*,運輸及倉儲業 (H)*:*,NULL,境內_高雄市*:*,準備考試_出國留學*:*,NULL,建立同學及老師人脈*:*,持續學習能力*:*溝通表達能力*:*,NULL,持續學習能力*:*問題解決能力*:*跨領域整合能力*:*,NULL,法律學門*:*人文學門*:*設計學門*:*
13566a38c266f6c8a4630b580bed5070,103,理學院,理學院學士班,學士班,目前非就業中（請跳答第7題後，再跳答第10、11、12題）*:*,NULL,NULL,NULL,NULL,NULL,NULL,非常有幫助*:*,NULL,NULL,NULL,外語能力*:*工作紀律、責任感及時間管理能力*:*溝通表達能力*:*,NULL,藝術學門*:*教育學門*:*社會及行為科學門*:*
137ace1917b1afc9642eb2dd8f6b3940,103,資訊電機學院,電機工程學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,工程部門*:*,否*:*,製造業 (C)*:*,NULL,境內_嘉義市*:*,尋找工作中_到現在還在尋找工作的最大可能原因為何_工作內容不滿意*:*,NULL,社團活動*:*,持續學習能力*:*創新能力*:*,NULL,資訊科技應用能力*:*持續學習能力*:*工作紀律、責任感及時間管理能力*:*,NULL,生命科學門*:*藝術學門*:*設計學門*:*
137d7ba97f4d20551a11e9c1e684b64e,101,工學院,環境工程研究所碩士在職專班,碩士在職專班,全職工作_創業*:*,業務部門*:*,否*:*,其他服務業 (S)*:*,"約新臺幣75,001元至80,000元*:*",境內_台北市*:*,NULL,NULL,建立同學及老師人脈*:*專業知識、知能傳授*:*,NULL,人際互動能力*:*,人際互動能力*:*持續學習能力*:*溝通表達能力*:*,符合*:*,傳播學門*:*
1380f9374a08071e75ebc33cd34203c2,100,工學院,能源工程研究所碩士班,碩士班,全職工作_政府部門（含職業軍人）*:*,工程部門*:*,否*:*,電力及燃氣供應業 (D)*:*,"約新臺幣55,001元至60,000元*:*",境內_新北市*:*,NULL,NULL,擔任研究或教學助理*:*語言學習*:*,NULL,人際互動能力*:*溝通表達能力*:*問題解決能力*:*,跨領域整合能力*:*資訊科技應用能力*:*問題解決能力*:*,符合*:*,人文學門*:*
1388b51933122148f73f61f88839b2a8,103,管理學院,資訊管理學系碩士在職專班,碩士在職專班,全職工作_企業（包括民營企業或國營企業…等）*:*,資訊部門*:*,否*:*,出版、影音製作傳播及資通訊服務業 (J)*:*,NULL,境內_澎湖縣*:*,準備考試_公務人員*:*,NULL,專業知識、知能傳授*:*,持續學習能力*:*溝通表達能力*:*,NULL,工作紀律、責任感及時間管理能力*:*溝通表達能力*:*外語能力*:*,NULL,人文學門*:*藝術學門*:*
1392248153ade3dcf61c3d7356231599,100,工學院,材料科學與工程研究所碩士班,碩士班,部分工時_目前非就業中（請跳答第6題、第13題）*:*,NULL,NULL,NULL,NULL,NULL,在升學中或進修中*:*,NULL,NULL,NULL,工作紀律、責任感及時間管理能力*:*外語能力*:*團隊合作能力*:*,問題解決能力*:*,NULL,電算機學門*:*
1395fe0ac36de251893858adbc25ac8e,100,理學院,物理學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,研發 /開發部門*:*,否*:*,製造業 (C)*:*,"約新臺幣46,001元至49,000元*:*",境內_新竹市*:*,NULL,NULL,專業知識、知能傳授*:*,NULL,工作紀律、責任感及時間管理能力*:*創新能力*:*,團隊合作能力*:*溝通表達能力*:*領導能力*:*,符合*:*,電算機學門*:*
13a0a8ccc3c5cf0aac40fac1b72b5b67,103,理學院,光電科學與工程學系碩士班,碩士班,全職工作_企業（包括民營企業或國營企業…等）*:*,研發 /開發部門*:*,是_請問管理人數為___人*:*,公共行政及國防、強制性社會安全 (O)*:*,NULL,境內_高雄市*:*,準備考試_出國留學*:*,NULL,校內實務課程*:*,問題解決能力*:*外語能力*:*溝通表達能力*:*,NULL,團隊合作能力*:*領導能力*:*溝通表達能力*:*,NULL,教育學門*:*社會及行為科學門*:*
13afdb152df0df914a9bf19e8d356016,103,生醫理工學院,生命科學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,研發 /開發部門*:*,否*:*,專業 、科學及技術服務(M)*:*,NULL,境內_嘉義縣*:*,準備考試_國內研究所*:*,NULL,校外業界實習*:*,人際互動能力*:*團隊合作能力*:*持續學習能力*:*,NULL,問題解決能力*:*資訊科技應用能力*:*,NULL,社會及行為科學門*:*藝術學門*:*
13bc0ec273bb684c011545ee223dc3aa,103,資訊電機學院,資訊工程學系,學士班,目前非就業中（請跳答第7題後，再跳答第10、11、12題）*:*,NULL,NULL,NULL,NULL,NULL,NULL,有幫助*:*,NULL,NULL,NULL,資訊科技應用能力*:*持續學習能力*:*工作紀律、責任感及時間管理能力*:*,NULL,法律學門*:*自然科學門*:*商業及管理學門*:*
13cb07f10b9c67a5b7723c87c8d93266,103,理學院,化學學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,企劃 /行銷部門*:*,是_請問管理人數為___人*:*,製造業 (C)*:*,NULL,境內_雲林縣*:*,尋找工作中_到現在還在尋找工作的最大可能原因為何_沒有工作機會*:*,NULL,社團活動*:*,問題解決能力*:*工作紀律、責任感及時間管理能力*:*,NULL,溝通表達能力*:*工作紀律、責任感及時間管理能力*:*領導能力*:*,NULL,人文學門*:*
13e33481f51efd87b0ebb2120daeac47,103,理學院,化學學系,學士班,全職工作_企業（包括民營企業或國營企業…等）*:*,工程部門*:*,否*:*,製造業 (C)*:*,NULL,境內_彰化縣*:*,準備考試_公務人員*:*,NULL,校內實務課程*:*,資訊科技應用能力*:*,NULL,問題解決能力*:*人際互動能力*:*溝通表達能力*:*,NULL,社會及行為科學門*:*
